Place| Cat   | Name                    : Rank
1    | 1     | Patla, Seth             : 167
2    | 1     | Decker, Carl            : 171
3    | 2     | Linn, Gabriel           : 173
4    | 1     | Babcock, Sean           : 174
5    | 1     | Jones, Christopher      : 178
5    | 1     | Kelley, Josh            : 178
6    | 1/2   | Guernsey, Ben           : 180
6    | 2     | Mensing, Kyle           : 180
6    | 1     | Russell, Jeremy         : 180
7    | 1     | Cummings, Robert        : 181
8    | 1     | Hartzel, Stephen        : 183
9    | -     | Mills, Fred             : 185
10   | 1     | Coe, Andrew             : 188
11   | 2     | Monteleone, Anthony     : 189
11   | 1     | Skerritt, Shannon       : 189
12   | 1     | Trux, Mitchell          : 191
12   | 2     | Williams, James         : 191
13   | 1/2   | Beardsley, Steven       : 192
14   | -     | Bushnell, Spencer       : 194
14   | 1     | Rathe, Jacob            : 194
14   | -     | Saviers, Michael        : 194
15   | 1     | Gallagher, Michael      : 195
16   | 1/2   | Huber, Geoffrey         : 201
17   | 2     | Eslinger, Cliff         : 202
17   | 1     | Rice, Geoff             : 202
18   | 1     | LaCava, Paul            : 203
19   | 1     | Johnston, Joshua        : 205
19   | 1     | Nystrom, Felipe         : 205
20   | 1     | Wood, Nicholas          : 207
21   | 2     | Weaver, Ryan            : 208
22   | 2     | Ritzow, Max             : 209
22   | 1/2   | Spahr, Trevor           : 209
22   | 2     | Uetrecht, Ryder         : 209
23   | 1     | Ceccorulli, James       : 210
24   | 1     | Cameron, Molly          : 213
25   | 2     | Strain, Lucas           : 214
26   | 1/2   | Rowan, Colin            : 217
27   | 2     | Johnston, Jeff          : 220
28   | 2     | Smith, Jacob            : 221
29   | 2     | Carline, Sean A         : 222
29   | 1     | Tonkin, Erik            : 222
30   | 1     | Swanson, Chad           : 225
30   | 1/2   | Wolfgang, Kurt          : 225
31   | 2     | Breeden, Byron          : 227
32   | 1     | Murphy, Evan            : 228
32   | 1     | Youngs, Nate            : 228
33   | 1     | Jones, Henry            : 229
34   | 2     | Lynch, Brian            : 231
35   | 2     | Brown, Michael          : 233
35   | 1/2   | Loaiza, Andrew          : 233
36   | 1     | Anthony, Brian          : 236
36   | 1     | Bowen, Bart             : 236
37   | 2     | Trumbull, Caleb         : 237
37   | 2     | Weikel, Danny           : 237
38   | 1/2   | Fox, Matt               : 238
38   | 1     | Santos, Joe             : 238
39   | 1     | Weathers, John          : 239
40   | 1     | Petersen, Brad          : 241
40   | 1     | Schmitt, Damian         : 241
41   | -     | Boerner, David          : 243
41   | 1/2   | Kesselman, Brian        : 243
42   | -     | Wood, James             : 244
43   | 2     | Bourcier, Paul          : 246
44   | 2     | Wilson, Webster         : 248
45   | 1     | Brown, Ian              : 250
46   | 1/2   | Fletcher, Shane         : 251
46   | 1     | Murphy, Owen            : 251
46   | 2     | Philips, Justin         : 251
47   | 1/2   | Peterson, Cody          : 254
48   | 2     | Balthazor, Chad         : 256
48   | 2     | Pederson, Ben           : 256
49   | 2     | Bosch, Adrian           : 257
49   | 2     | Wierman, Hayden         : 257
50   | 1/2   | Brainard, Benjamin      : 259
51   | 1     | Jamison, Matt           : 260
52   | 2     | Ireton, Kyle            : 261
52   | 1     | Merritt, Doug           : 261
53   | 2     | Hammerquist, Erik       : 262
54   | 2     | Fransen, Randall        : 263
55   | 2/3   | Lam, Christian          : 264
55   | -     | Rubijono, Pete          : 264
56   | 2     | Henderson, Dustin       : 265
57   | 1     | Ziehnert, Justin        : 266
58   | 1     | Bergen IV, Billy        : 267
59   | 1     | Banks-Watson, Alexander : 268
59   | 2     | Kachman, Adam           : 268
60   | 1/2   | Audrain, Ivy            : 269
60   | -     | Thunell, Bo             : 269
61   | 2     | Edick, Andy             : 271
61   | 2     | Furst, Paul             : 271
61   | 2     | Olsson, Andy            : 271
61   | 2     | Stadnik, Andrzej        : 271
62   | 2     | Lalomia, Cole           : 272
62   | 2     | Ramsey, Christopher     : 272
63   | 3/4   | Santana, William        : 273
64   | 2     | Croasdaile, Patrick     : 274
65   | 2     | Heppler, Lance          : 276
66   | 2     | Bickford, Janelle       : 277
67   | 2     | Nann, Cory              : 278
68   | 2     | McBride, Max            : 279
68   | 2     | Paez, Matthew           : 279
69   | 2     | Schwartz, Matthew       : 280
70   | 3     | Davidson, Brad          : 282
70   | 3     | Leveroni, Charlie       : 282
70   | 1     | Metz, Rick              : 282
70   | 2     | Miller, Jordan          : 282
71   | 1     | Johnson, Ashlyn         : 283
71   | 2     | Wierman, Chris          : 283
72   | 3     | Hahn, Ken               : 284
73   | 2     | Aylward, Michael        : 286
73   | 3     | Reedy, Patrick          : 286
73   | 2     | Sarrett, Chris          : 286
74   | 2     | Bowen, Gavin            : 287
74   | 3     | Southam, Maxwell        : 287
74   | 4     | Taylor, Jordan          : 287
75   | 2     | Chamberlain, Scott      : 288
75   | 1     | Gordon, Serena Bishop   : 288
76   | 2     | Bee, Geoffrey           : 289
76   | 2     | Poole, Brent            : 289
77   | 1     | Davis Usher, Anne       : 290
78   | 3     | Hulst, Josh             : 291
78   | 2     | Wescott, Tanner         : 291
79   | 1/2   | Leritz, Aaron           : 292
79   | 3     | McElravy, Greg          : 292
80   | 3     | Aldrich, Carl           : 293
80   | 1     | Day, Carrie             : 293
80   | 1     | Trace, Laura            : 293
81   | 3     | Chapman, John           : 294
81   | 3     | Hamness, Terry          : 294
81   | 1/2   | Joslin, Tim             : 294
81   | 2     | Ramsey, Kelsey          : 294
81   | -     | Walrod, John            : 294
82   | 2     | Armstrong, Craig        : 295
82   | 3     | Goldsby, Ty             : 295
82   | 1     | Honsinger, Clara        : 295
82   | 2     | Zukowski, Josiah        : 295
83   | 2     | McIntire, Keith         : 296
84   | 2     | Adams, Greg             : 298
84   | -     | Barrett, Ryan           : 298
84   | 2     | Hamness, Mike           : 298
84   | 2     | Miller, David M         : 298
84   | 2     | Werner, Carl            : 298
85   | 3     | Hynes, Paul             : 299
85   | 2     | Sardell, Micah          : 299
85   | 2     | Thoman, Chris           : 299
86   | 2     | Beer, Gavin             : 300
86   | 1/2   | Myers, Jonathan         : 300
87   | 2     | Douthwaite, Charlie     : 301
87   | 1/2   | Ryan, Ira               : 301
88   | 1     | Baird, Julie            : 302
88   | 3     | Morrow, Brent           : 302
88   | 1     | Wuepper, Kyle           : 302
89   | 2     | Jenkinson, Bryce        : 303
89   | 1     | White, Elizabeth        : 303
90   | 2     | Jungjohann, Ian         : 304
90   | 2     | Restivo, Nolan          : 304
91   | 2     | LaRue, Holland          : 305
91   | 2     | Lin, John               : 305
91   | 1     | Parsons, Laura          : 305
92   | -     | Anderson, Aaron         : 306
92   | 2     | Gutwald, Peter          : 306
92   | 3     | Marchi, David           : 306
92   | 3     | Usher, Andrew           : 306
92   | 3     | Williams, Steve C       : 306
93   | 3     | Barton, Alan            : 307
94   | 2     | Cushman, David          : 308
95   | 1     | Gilmore, Leland         : 309
95   | 3     | Wright, Jeremy          : 309
96   | 2     | Baier, Dan              : 310
96   | 2     | Broadman, Anthony       : 310
96   | 3     | Leritz, Nicholas        : 310
96   | 2     | Lilley, Ava             : 310
97   | 3     | Mergen, Eric            : 311
97   | 2     | Reis, Tiago             : 311
98   | 2     | Frey, John              : 312
98   | 1     | Kennedy, Ann            : 312
98   | 1/2   | Russell, Matt           : 312
99   | 2     | Bailly, Devin           : 313
99   | 1     | Faris, Megan            : 313
99   | 3     | Goodman, Mark           : 313
99   | 2     | Muhs, Christopher       : 313
99   | 2     | Radich, Matt            : 313
100  | -     | Ganter, Chris           : 314
100  | 1     | Porteous, Angharad      : 314
100  | 2     | Smith, Andrew           : 314
101  | 2/3   | Kjera, Kellen           : 315
101  | 2     | Schroeder, Jason        : 315
102  | -     | Collura, Sal            : 316
102  | 3     | Madsen, Peter           : 316
102  | 3     | Moor, Chris             : 316
102  | 3     | Moore, Adam             : 316
103  | 2     | Beckwith, Nicole        : 317
103  | 3     | Berteau-pavy, Christophe: 317
103  | 2     | Salinas, Katy           : 317
104  | 3     | Bruggemeier, Franz      : 318
104  | 3     | Scott, Randy            : 318
104  | 3     | Thayer, Tony            : 318
105  | 1     | Wescott, Erica          : 319
106  | 3     | Burgess, Adam           : 320
106  | 2     | Day, Sam                : 320
106  | 3     | Pastor, Thomas          : 320
106  | 1     | Snider, Taylor          : 320
107  | 1     | Elstad, Jason           : 321
107  | 3     | Olander, Jacob          : 321
108  | 3     | Gallagher, Brandon      : 322
108  | 2     | Hagstette, Eric         : 322
108  | -     | Hillson, Scott          : 322
108  | 3     | Loftus, Jackson         : 322
109  | 2     | Bavuso, Jason           : 323
109  | -     | Campbell, Jake          : 323
109  | 3     | Copus, Jeff             : 323
109  | 2     | Crampton, Matthew       : 323
109  | 3     | Draper, Howard          : 323
109  | 3     | Hernandez, Abram        : 323
110  | 1     | Braun, Mathew           : 324
110  | 3     | Wilson, Jordan          : 324
111  | 3     | Shaffner, Eric          : 325
111  | 1/2   | Sloan, Chip             : 325
111  | 2     | Viray, Xander           : 325
112  | -     | Graves, Gabe            : 326
112  | 1/2   | Wood, Heidi             : 326
113  | 3     | Chochon, Jeff           : 327
113  | 1     | Domaille, Sierra        : 327
113  | 3     | Tombleson, Dustin       : 327
113  | 2     | Warburton, Bill         : 327
114  | 4     | Smith, Matthew          : 328
115  | 2     | Armstrong, Paul         : 329
116  | 3     | Chapin, Parke           : 330
116  | 2     | DeResta, Mark           : 330
116  | 2     | Johansen, Joshua        : 330
116  | -     | Tervo, James            : 330
116  | 2     | Truelove, Billy         : 330
117  | 3     | Acosta, Martin          : 331
117  | 3     | Crouch, Joel            : 331
117  | 2     | Hendricks, Walker       : 331
117  | 4     | Vogs, Andre             : 331
118  | 3     | Kolb, Michael           : 332
118  | 3     | McGregor, Gavin         : 332
119  | 3     | Brawner, Curtis         : 333
119  | 2     | Mckee, Mckenna          : 333
119  | 3     | Mergen, Ben             : 333
120  | 2     | Winans, Chris           : 334
121  | 3     | Rear, Gavin             : 335
121  | 1/2   | Szwaya, Michael         : 335
122  | 2     | Gill, Jessica           : 336
122  | 3     | Kashey, Nikolaus        : 336
122  | 3     | Moore, Christopher      : 336
122  | 2     | Reitz, Dave             : 336
122  | 2     | White, Matthew          : 336
123  | 2     | Blomberg, Mielle        : 338
123  | 1/2   | Koide, Jade             : 338
123  | 3     | Radspinner, Aaron       : 338
123  | 4     | Scholz, Scott           : 338
123  | 3     | Thompson, Kevin         : 338
124  | 2     | Hahn, Stephanie         : 339
124  | 2     | Hendricks, Tre          : 339
124  | 4     | Strait, Zane            : 339
125  | 2     | Aaker, Craig            : 340
125  | 3     | Marjama, Marcus         : 340
125  | 3     | Wise, Brian             : 340
126  | 3     | Cortez, Will            : 341
126  | -     | Furniss, Jacob          : 341
126  | 1     | Perrin, Bear            : 341
127  | 2     | Cress, Daniel           : 342
127  | 4     | Ling, Bradley           : 342
127  | 2     | Little, Brian           : 342
127  | 3     | Thompson, Rob           : 342
128  | 4     | Boelter, Joshua         : 343
128  | 1     | Melkonian, Davis        : 343
128  | 2     | Suchocki, Andrew        : 343
128  | 3     | Tarnow, Aaron           : 343
128  | 3     | Werle, Dan              : 343
129  | 3     | Breault, Timothy        : 344
129  | 2     | MacMinn, Sean           : 344
129  | 3     | Wilks, Richard          : 344
130  | 3     | Chase, Ryan             : 345
130  | 5     | LaBarre, Ryan           : 345
130  | 2     | Lane, Trevor            : 345
130  | 2     | Williams, Mark          : 345
131  | 1/2   | Moody, Michael          : 346
131  | 4     | Rice, Gregg             : 346
131  | 3     | Tyburski, Garrett       : 346
132  | 3     | Hagedorn, Carter        : 347
132  | 3     | Moore, Drew             : 347
132  | 3     | Rogers, Owen            : 347
132  | 1     | Uetrecht, Stephanie     : 347
133  | 4     | Boelter, Matthew        : 348
133  | 3     | Johnson, David          : 348
133  | 2     | Newlands, Peter         : 348
133  | 3     | Ryan, Kevin             : 348
133  | -     | Wanhala, Scott          : 348
134  | 3     | Green, James            : 349
134  | 4     | Johansen, Jake          : 349
134  | 3     | Severance, Spencer      : 349
135  | 3     | Inscoe, Jerry           : 350
135  | 2     | Johnson, Jennifer       : 350
135  | 2     | Kocher, Scott           : 350
136  | 1/2   | Brown, Ryan             : 351
136  | 1/2   | Coats, James            : 351
136  | 3     | Ingham, Simon           : 351
136  | 1/2   | Skjersaa, Renee         : 351
137  | 4     | Phillips, Whitney       : 352
138  | 2     | Baird, Holly            : 353
138  | 4     | Turner, Collin          : 353
139  | 2     | Gentz, Lisa             : 354
139  | 2     | Gill, John              : 354
140  | 2     | Kunkler, Andy           : 355
140  | 3     | Wittreich, Geoff        : 355
141  | 3     | Beeson, Patrick         : 356
141  | 4     | Fahey, Brian            : 356
141  | -     | Headley, Grant          : 356
141  | 4     | Joyce, Martin           : 356
141  | 1/2   | McNair, Abra            : 356
141  | 4     | Sherman, Joel           : 356
142  | 4     | Cowing, Brady           : 358
142  | 4     | Johnson, Patrick        : 358
142  | 2     | Leins, Carley           : 358
142  | 3/4/5 | Saunders, Justin        : 358
142  | 3/4/5 | Trout, Nyall            : 358
143  | 2     | Bradway, Scott          : 359
143  | 3     | Case, Patrick           : 359
143  | 3     | Smelser, Frederick      : 359
144  | 4     | Pitone, Tony            : 360
144  | 3     | Popp, Steve             : 360
144  | 2/3   | Severy, Mark            : 360
145  | 4     | Matsumura, Martin       : 361
145  | 2     | Umberhandt, Robert      : 361
146  | -     | Beers, Shane            : 362
146  | 4     | George, David           : 362
146  | 1/2/3 | Lawson, Max             : 362
146  | 2/3   | Smith, Jeff             : 362
146  | 5     | Smith, Zachary          : 362
146  | 3     | Visnack, David          : 362
147  | 2     | Blenkiron, Peter        : 363
147  | 3     | Cabatic, Gabriel        : 363
147  | 3     | Harden, Kieran          : 363
147  | 3/4/5 | Hartrich, Caiden        : 363
147  | 4     | Shatting, Rob           : 363
148  | 2     | Campbell, Terry         : 364
148  | 3     | Holcomb, Billy          : 364
149  | 2     | Balderson, Nikki        : 365
149  | 3     | Ontiveros, Keelan       : 365
149  | 2     | Reynolds, Sean          : 365
149  | -     | Schmitt, Greg           : 365
149  | 3     | Whitley, Jason          : 365
150  | 2     | Chalier, Annick         : 366
150  | 2     | Drennan, Kate           : 366
150  | 4     | Hankins, Drew           : 366
150  | 4     | Pruiett, Jerry          : 366
150  | 1     | Winberry, Laura         : 366
151  | 4     | McFadin, Ezekiel        : 367
151  | 1     | minarik, Kristen        : 367
151  | 3     | Pfeiffer, Bradley       : 367
151  | 4     | Thorne, Benicio         : 367
151  | 3/4/5 | Westerfield, Tygre      : 367
152  | 3     | Iwasa, Ben              : 368
152  | 3     | Maclean, Dean           : 368
153  | 3     | Barnes, Ryan            : 369
153  | 4     | Sosebee, Geoff          : 369
153  | 3     | Szalay, Gary            : 369
154  | 2     | Kathrein, Kimberly      : 370
154  | 3     | Rasca, David            : 370
154  | 3     | Simpson, Bryan          : 370
154  | 3     | van Amerongen, Greg     : 370
155  | 3     | Krause, Elijah          : 371
155  | -     | Lanners, Eric           : 371
155  | 4     | van Maaren, Ivor        : 371
155  | 4     | Wallace, Sean           : 371
156  | 3     | Abel, Mike              : 373
156  | 3     | Chamblin, Mike          : 373
156  | 3     | Edwards, Kirk           : 373
156  | 3     | Fletcher, Kiel          : 373
156  | 2     | Mills, Michelle         : 373
156  | 3     | SMALL, JAY              : 373
157  | 2     | Black, Steve            : 374
157  | -     | Goff, Wade              : 374
157  | 4     | Lathrop, Jared          : 374
157  | 2     | Lurie, Erica            : 374
157  | 3     | Richards, Keith         : 374
158  | 4     | Proteau, Dean           : 375
158  | 3     | Sutton, Josh            : 375
159  | 3     | Moug, Diane             : 376
159  | 3     | Schmitz, David          : 376
159  | 2     | Sosnowski, Luke         : 376
159  | 2     | Spampinato, Joseph      : 376
160  | 3     | Curry, Reid             : 377
160  | 2     | Meier, Roger            : 377
160  | 2     | Sass, Kimberly          : 377
161  | 2     | Rice, Emily             : 378
162  | 4     | Connor, Patrick         : 379
163  | 2     | Armstrong, Alana        : 380
163  | 3     | Geelen, Bas             : 380
163  | 3     | McLaughlin, Ryan        : 380
163  | 4     | Vanarsdall, Adam        : 380
164  | 2     | Beko, Jeanne            : 381
164  | -     | Swan, Chris             : 381
164  | 3     | Whittington, Jason      : 381
165  | 1/2   | Prause, David           : 383
165  | 4     | Smith, Elijah           : 383
166  | 4     | Coy, Jonathan           : 384
166  | 4     | DePeel, Casey           : 384
166  | 3     | Hagedorn, Joseph        : 384
166  | 2     | Hildreth, Darragh       : 384
166  | 4     | Peterson, Daniel        : 384
166  | 3     | Russell, Aaron          : 384
167  | 3     | Cook, Sean              : 385
167  | 4     | Dimick, Damon           : 385
167  | 3     | Dufour, Gregory         : 385
167  | 3     | Harrison, Craig         : 385
167  | 4     | Lindbloom, Scott        : 385
167  | 1/2   | Miller, Mallory         : 385
167  | 2     | Nelson, Susannah        : 385
167  | 2     | Sher, Melissa           : 385
167  | 3     | Weymouth, Banjo         : 385
168  | 3     | Adamski, Mark           : 386
168  | 3     | Boston, Rick            : 386
168  | 3     | Malnati, Doug           : 386
168  | 2     | Schultz, Alexandria     : 386
168  | 3     | Stolberg, Eric          : 386
169  | 4     | Alderman, Eric          : 387
169  | 2     | Bigsby, Cassidy         : 387
169  | 3     | Martin, Pierce          : 387
169  | 3     | Shreve, Ian             : 387
170  | -     | Barker, Scott           : 388
170  | 4     | Hagen, Eric             : 388
170  | 4     | Lomas, Benjamin         : 388
170  | -     | San Agustin, Christopher: 388
170  | 3     | Spiak, Stephanie        : 388
170  | 3/4/5 | Winnenberg, Henry       : 388
171  | 4     | Aldinger, Eric          : 389
171  | -     | Faes, Gene              : 389
171  | 3     | Lance, Ashley           : 389
171  | 4     | Rice94273333, Aidan     : 389
172  | 3     | Agalzoff, Nathan        : 390
172  | 3     | Dunlap, Colin           : 390
172  | 4     | Lopez, John             : 390
172  | 4     | Owen, D'Arcy            : 390
173  | 2     | Masessa, Sheri          : 391
173  | -     | Olson, Slate            : 391
173  | -     | Voldengen, Erik         : 391
174  | 2     | Bagg, Christopher       : 392
174  | -     | Bentley, Peter          : 392
174  | 4     | Orman, Tucker           : 392
174  | 2     | Power, Pam              : 392
174  | 2     | Schomaker, Chris        : 392
174  | 2     | ziehnert, lauren        : 392
175  | 1     | Callahan, Sierra        : 393
175  | 3     | Hanselman, Joshua       : 393
175  | 3     | Hyde, Steven            : 393
176  | 3     | Bernal, Michael         : 394
176  | 4     | Jones, Jackson          : 394
176  | 3     | Lincoln, Daniel         : 394
176  | 2     | Little, Mari            : 394
177  | 2     | Haliewicz, Jennifer     : 395
177  | 3     | Hoffman, Eric           : 395
177  | 3     | Limbaugh, John          : 395
178  | 4     | Kneedler, Joshua        : 396
179  | 2     | Giombolini, Katy        : 397
179  | 2     | Gruenemay, Brian        : 397
179  | 3     | McConnell, George P.S.  : 397
179  | 3     | Wilson, Tyler           : 397
180  | 4     | Dickson, Kevin          : 398
180  | 3/4/5 | Litton, Jacob           : 398
180  | 2     | Reis, Erin              : 398
180  | -     | Ruff, Adam              : 398
180  | -     | Wilson, Forest          : 398
181  | 3     | Russell, Julie          : 399
181  | -     | Wilder, Michael         : 399
182  | 4     | Einig, Dustin           : 400
182  | 2     | Goodell, Erinne         : 400
182  | 3     | Hash, Sarah Jane        : 400
182  | -     | Holt, Landon            : 400
182  | 4     | Rice, Brady             : 400
182  | -     | Richards, Mathison      : 400
182  | 5     | Simundza, Tim           : 400
182  | -     | Wilger, Dublin          : 400
183  | 3     | Carney, Carrie          : 401
183  | 3     | Fleming, Andrew         : 401
183  | -     | Howard, Colin           : 401
183  | 2     | Schmitt, Laura          : 401
183  | 3     | Young, Andrew           : 401
184  | 1/2   | Uetrecht, Robert        : 402
185  | 3     | Dial, Matthew           : 403
185  | -     | McLain, Neil            : 403
185  | 4     | Pinzone, Joe            : 403
185  | 2     | Pola, Heather           : 403
185  | 1     | Rice, Amy               : 403
185  | 4     | Stromquist, Ian         : 403
186  | 3     | Adkins, John            : 404
186  | -     | Kaysen, David           : 404
186  | -     | Letourneau, Andy        : 404
186  | 4     | Messer, Bill            : 404
187  | 3     | Hatfield, John          : 405
187  | 2     | Koonce, Susan           : 405
187  | 2     | Mathers, Kayt           : 405
187  | 2     | Strange, Patricia       : 405
188  | 3     | Bailey, Demian          : 406
188  | 2     | Klingler, Bill          : 406
188  | 2     | Krause, David           : 406
188  | 3     | Napier, John            : 406
188  | 3     | Tankus, Ben             : 406
189  | 3/4/5 | Lilly, Evan             : 407
189  | 3     | Lukens, Joseph          : 407
189  | 4     | McIntyre, Ryan          : 407
190  | 5     | Harrison, Halen         : 408
190  | 3     | Hough, Miriam           : 408
190  | 3     | Masessa, Dave           : 408
190  | 3     | Wenrick, Mike           : 408
190  | 3/4/5 | Zipper, Cameron         : 408
191  | 1     | Brubaker, Tina          : 409
191  | 3     | Churchill, Scott        : 409
191  | 3     | Flanagan, Beth          : 409
191  | 1     | Huggins, Elise          : 409
191  | -     | Tuttle, Christopher     : 409
191  | 4     | VanderHart, Dirk        : 409
191  | 4     | westerfield, Mark       : 409
191  | 3     | Zugor, Eric             : 409
192  | 2     | Bowers, Derek           : 410
192  | 3     | Marganski, Alex         : 410
192  | 3/4/5 | Prochaska, Eli          : 410
192  | 3     | Stover, Madeline        : 410
193  | -     | Bagshaw, Ian            : 411
193  | -     | Ives, Jace              : 411
193  | 3     | Pace, Kenneth           : 411
193  | 3     | Serslev, Rachel         : 411
194  | 5     | Froelich, Dan           : 412
194  | 2     | Hamilton, Meg           : 412
194  | 3     | Penner, Ian             : 412
194  | 2     | Rotstein, Zach          : 412
195  | 3     | Grover, Todd            : 413
195  | 3     | Ohotto, John            : 413
196  | 3     | Hanley, Brian           : 414
196  | 2     | Johnson, Paul           : 414
197  | 1     | Halpin, Allison         : 415
197  | 3     | Rice, Hannah            : 415
197  | 2     | Saltonstall, Anna       : 415
198  | 4     | Barrett, Charles        : 416
198  | 3     | Clark, Michael          : 416
198  | 2     | Meyer, Brian            : 416
198  | -     | Nary, Jeff              : 416
198  | 2     | Starkey, Dennis         : 416
198  | -     | Williams, Ashley        : 416
199  | 4     | Keener, Moses           : 418
199  | 3     | Wiggins, Dylan          : 418
200  | 3     | Brownback, Keeley       : 419
200  | 3     | Hewett, David           : 419
200  | 3     | McManus, Corey          : 419
200  | -     | Merrithew, Jesse        : 419
201  | 3     | Cushman, Kristi         : 420
201  | -     | Dendiuk, John           : 420
201  | 4     | Jones, Jason            : 420
201  | 3     | Keane, Calvin           : 420
201  | 3     | Lammers, Rich           : 420
201  | 3     | Thier, Chris            : 420
202  | 4     | Alderman, Brad          : 421
202  | 3     | Boling, Evelyn          : 421
203  | 2     | Hillary, Rebecca        : 422
203  | 3     | Owen, James             : 422
203  | 4     | Pieratt, Barry          : 422
203  | 3     | Shreve, Autumn          : 422
204  | 3     | Buckley, Anna           : 423
204  | 4     | Crawley, Phil           : 423
204  | -     | Duppenthaler, Troy      : 423
204  | 3     | Grummon-Beale, Geoff    : 423
204  | 3     | Heckscher, Max          : 423
204  | -     | Sakacsi, Jeff           : 423
204  | 2     | Stover, Brittany        : 423
205  | -     | Myers, Greg             : 424
206  | 3     | Kubisch, Joshua         : 425
206  | 4     | LaPlante, Scott         : 425
206  | -     | Pettitt, John           : 425
206  | 3/4   | Schultz, Carter         : 425
206  | -     | Wazny, Scott            : 425
207  | 4     | Honek, Petr             : 426
207  | 3     | Jaspersen, JD           : 426
207  | 2     | Maguire, Remy           : 426
207  | -     | McGlone, Ryan           : 426
207  | 4     | Morin, Bertrand         : 426
207  | 3/4/5 | Powell, Oscar           : 426
207  | 5     | Sherry, Tim             : 426
207  | 4     | Torrance, Dave          : 426
207  | 3     | Yorra, Hannah           : 426
208  | 2     | Renn, Suzy              : 427
208  | 4     | Schimpf, Ryan           : 427
209  | 4     | Hall, Travis            : 428
209  | 4     | Jetton, Matthew         : 428
209  | 4     | McGrew, James           : 428
210  | -     | Blankenship, Bjorn      : 430
210  | 2     | Freilinger, Crossett    : 430
210  | 2     | Johnson, Shane          : 430
210  | 3     | Squires, Audrey         : 430
210  | -     | Stoner, Destry          : 430
210  | 3/4/5 | Tai, Benjamin           : 430
211  | 3     | Solovewicz, Cory        : 431
212  | 4     | Antonson, Casey         : 432
212  | 3     | Souders, Paul           : 432
212  | 2     | Tesman, Linda           : 432
