Place| Cat   | Name                    : Rank
1    | 1     | Decker, Carl            : 204
2    | 1     | Babcock, Sean           : 209
3    | 1     | Kelley, Josh            : 211
4    | 1     | Cummings, Robert        : 215
5    | 1     | Russell, Jeremy         : 216
6    | 1     | Skerritt, Shannon       : 217
7    | 1     | Jones, Christopher      : 222
7    | 1     | Trux, Mitchell          : 222
8    | 1     | Hartzel, Stephen        : 224
9    | 1     | Coe, Andrew             : 225
10   | 1     | Jones, Henry            : 226
11   | 1     | Rathe, Jacob            : 228
11   | 1     | Rice, Geoff             : 228
12   | 1     | Gallagher, Michael      : 229
13   | 1     | Wood, Nicholas          : 232
14   | 2     | Williams, James         : 233
15   | 1     | Nystrom, Felipe         : 238
15   | 1     | Youngs, Nate            : 238
16   | 1     | Bowen, Bart             : 246
17   | 2     | Uetrecht, Ryder         : 247
18   | 1     | Ceccorulli, James       : 248
19   | 2     | Ritzow, Max             : 249
20   | 1     | Swanson, Chad           : 250
21   | 1     | Tonkin, Erik            : 255
22   | 2     | Brown, Michael          : 258
23   | 1     | Santos, Joe             : 260
24   | 1     | Anthony, Brian          : 261
25   | 1     | Cameron, Molly          : 262
26   | 1     | Petersen, Brad          : 264
26   | 1/2   | Wolfgang, Kurt          : 264
27   | 1     | Weathers, John          : 265
28   | 1     | Brown, Ian              : 266
29   | 2     | Bourcier, Paul          : 267
29   | 1     | Murphy, Evan            : 267
30   | 1/2   | Kesselman, Brian        : 269
31   | 1/2   | Fletcher, Shane         : 270
31   | 2     | Johnston, Jeff          : 270
32   | 1     | Murphy, Owen            : 271
32   | 2     | Wierman, Hayden         : 271
32   | 1     | Ziehnert, Justin        : 271
33   | 2     | Wilson, Webster         : 272
34   | 2     | Bosch, Adrian           : 273
35   | 1/2   | Loaiza, Andrew          : 276
36   | 1     | Banks-Watson, Alexander : 278
36   | 1     | Jamison, Matt           : 278
36   | 1     | LaCava, Paul            : 278
36   | 2     | Pederson, Ben           : 278
37   | 1/2   | Brainard, Benjamin      : 279
37   | 2     | Fransen, Randall        : 279
38   | 1     | Schmitt, Damian         : 282
39   | 2     | Henderson, Dustin       : 283
39   | 2     | Ramsey, Christopher     : 283
40   | 2     | Kachman, Adam           : 284
40   | 2/3   | Lam, Christian          : 284
41   | 2     | Heppler, Lance          : 287
42   | 2     | Miller, Jordan          : 290
42   | 2     | Wierman, Chris          : 290
43   | 2     | Balthazor, Chad         : 291
43   | 2     | Lane, Trevor            : 291
43   | 2     | Mensing, Kyle           : 291
44   | 2     | Hammerquist, Erik       : 292
44   | 2     | Nann, Cory              : 292
45   | 2     | Olsson, Andy            : 293
45   | 1     | Patla, Seth             : 293
46   | 2     | Stadnik, Andrzej        : 294
47   | 2     | Aylward, Michael        : 295
48   | 2     | Chamberlain, Scott      : 296
49   | 2     | Sarrett, Chris          : 297
49   | 2     | Weikel, Danny           : 297
50   | 2     | Wescott, Tanner         : 298
51   | 2     | Bowen, Gavin            : 299
52   | 1     | Davis Usher, Anne       : 300
52   | 2     | Furst, Paul             : 300
53   | 3     | Hamness, Terry          : 301
54   | 3     | Chapman, John           : 302
54   | 1     | Merritt, Doug           : 302
54   | 2     | Strain, Lucas           : 302
55   | 3     | Hulst, Josh             : 303
56   | 2     | Miller, David M         : 304
56   | 3     | Reedy, Patrick          : 304
56   | 3     | Williams, Steve C       : 304
57   | 2     | Bee, Geoffrey           : 305
57   | 1     | Gordon, Serena Bishop   : 305
57   | 3     | Southam, Maxwell        : 305
57   | 3     | Wright, Jeremy          : 305
58   | 1     | Day, Carrie             : 306
58   | 2     | Hamness, Mike           : 306
58   | 3     | Hynes, Paul             : 306
59   | 3     | Leveroni, Charlie       : 307
59   | 1     | Metz, Rick              : 307
60   | 3     | Davidson, Brad          : 308
60   | 2     | Ramsey, Kelsey          : 308
61   | 2     | McBride, Max            : 309
61   | 3     | Morrow, Brent           : 309
61   | 2     | Werner, Carl            : 309
62   | 2     | Trumbull, Caleb         : 310
62   | 3     | Usher, Andrew           : 310
