Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
6,135, 3, 3,"Craig"	,"Aaker"	,"4"	,"Kruger's Crossing Cyclocross Classic"	,"Masters 35+ C"	,2013-11-24,""
2,117, 8,11,"Craig"	,"Aaker"	,"4"	,"Alpenrose"	,"Masters 35+ C"	,2014-10-11,""
1,138,10,21,"Craig"	,"Aaker"	,"4"	,"Alpenrose"	,"Masters 35+ C"	,2014-10-12,"NEEDS UPGRADE"
1,168,10,31,"Craig"	,"Aaker"	,"4"	,"Heron Lakes"	,"Masters 35+ C"	,2014-10-19,"NEEDS UPGRADE"
6,111, 3, 3,"Craig"	,"Aaker"	,"3"	,"WA County Fairgrounds"	,"Masters 35+ B"	,2014-10-26,"UPGRADED TO 3 WITH 31 POINTS"
1,116,10,13,"Craig"	,"Aaker"	,"3"	,"Deschutes Brewery"	,"Masters 35+ B"	,2014-11-01,""
2,92, 8,21,"Craig"	,"Aaker"	,"3"	,"Deschutes Brewery"	,"Masters 35+ B"	,2014-11-02,"NEEDS UPGRADE"
20, ?, 0, 0,"Craig"	,"Aaker"	,"2"	,"Barton Park"	,"Masters 35+ A"	,2014-11-16,"UPGRADED TO 2 WITH 21 POINTS"
5,26, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-01,"NO POINTS FOR RACING BELOW CATEGORY"
4,27, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-15,"NO POINTS FOR RACING BELOW CATEGORY"
7,28, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-22,"NO POINTS FOR RACING BELOW CATEGORY"
4,25, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-29,"NO POINTS FOR RACING BELOW CATEGORY"
6,28, 2, 2,"Craig"	,"Aaker"	,"2"	,"Barton Park"	,"Masters 35+ 1/2"	,2017-11-12,""
5,21, 1, 3,"Craig"	,"Aaker"	,"2"	,"OBRA Championships: Kruger's Crossing Cyclocross Classic"	,"Masters 35+ 1/2"	,2017-11-19,""
5,11, 1, 1,"Amanda"	,"Abel"	,"5"	,"GPCM: Het Meer CX"	,"Women 5"	,2017-09-09,"DOWNGRADED TO 5"
2,10, 2, 3,"Amanda"	,"Abel"	,"5"	,"GPCM: Zaaldercross"	,"Women 5"	,2017-09-16,""
5,12, 1, 4,"Amanda"	,"Abel"	,"5"	,"GPCM: Heiser Farm CX"	,"Women 5"	,2017-09-30,""
